tract,puma
14000US01001020100,79500US0102100
14000US01001020200,79500US0102100
14000US01001020300,79500US0102100
14000US01001020400,79500US0102100
14000US01001020500,79500US0102100
14000US01001020600,79500US0102100
14000US01001020700,79500US0102100
14000US01001020801,79500US0102100
14000US01001020802,79500US0102100
14000US01001020900,79500US0102100
14000US01001021000,79500US0102100
14000US01001021100,79500US0102100
14000US01003010100,79500US0102600
14000US01003010200,79500US0102600
14000US01003010300,79500US0102600
14000US01003010400,79500US0102600
14000US01003010500,79500US0102600
14000US01003010600,79500US0102600
14000US01003010701,79500US0102600
14000US01003010703,79500US0102600
14000US01003010704,79500US0102600
14000US01003010705,79500US0102600
14000US01003010800,79500US0102600
14000US01003010903,79500US0102600
14000US01003010904,79500US0102600
14000US01003010905,79500US0102600
14000US01003010906,79500US0102600
14000US01003011000,79500US0102600
14000US01003011101,79500US0102600
14000US01003011102,79500US0102600
14000US01003011201,79500US0102600
14000US01003011202,79500US0102600
14000US01003011300,79500US0102600
14000US01003011401,79500US0102600
14000US01003011403,79500US0102600
14000US01003011405,79500US0102600
14000US01003011406,79500US0102600
14000US01003011407,79500US0102600
14000US01003011408,79500US0102600
14000US01003011501,79500US0102600
14000US01003011502,79500US0102600
14000US01003011601,79500US0102600
14000US01003011602,79500US0102600
14000US01003990000,79500US0102600
14000US01005950100,79500US0102400
14000US01005950200,79500US0102400
14000US01005950300,79500US0102400
14000US01005950400,79500US0102400
14000US01005950500,79500US0102400
14000US01005950600,79500US0102400
14000US01005950700,79500US0102400
14000US01005950800,79500US0102400
14000US01005950900,79500US0102400
14000US01007010001,79500US0101700
14000US01007010002,79500US0101700
14000US01007010003,79500US0101700
14000US01007010004,79500US0101700
14000US01009050101,79500US0100800
14000US01009050102,79500US0100800
14000US01009050200,79500US0100800
14000US01009050300,79500US0100800
14000US01009050400,79500US0100800
14000US01009050500,79500US0100800
14000US01009050601,79500US0100800
14000US01009050602,79500US0100800
14000US01009050700,79500US0100800
14000US01011952100,79500US0102400
14000US01011952200,79500US0102400
14000US01011952500,79500US0102400
14000US01013952700,79500US0102300
14000US01013952800,79500US0102300
14000US01013952900,79500US0102300
14000US01013953000,79500US0102300
14000US01013953100,79500US0102300
14000US01013953200,79500US0102300
14000US01013953300,79500US0102300
14000US01013953400,79500US0102300
14000US01013953500,79500US0102300
14000US01015000200,79500US0101100
14000US01015000300,79500US0101100
14000US01015000400,79500US0101100
14000US01015000500,79500US0101100
14000US01015000600,79500US0101100
14000US01015000700,79500US0101100
14000US01015000800,79500US0101100
14000US01015000900,79500US0101100
14000US01015001000,79500US0101100
14000US01015001100,79500US0101100
14000US01015001201,79500US0101100
14000US01015001202,79500US0101100
14000US01015001300,79500US0101100
14000US01015001400,79500US0101100
14000US01015001500,79500US0101100
14000US01015001600,79500US0101100
14000US01015001700,79500US0101100
14000US01015001800,79500US0101100
14000US01015002000,79500US0101100
14000US01015002101,79500US0101100
14000US01015002102,79500US0101100
14000US01015002103,79500US0101100
14000US01015002200,79500US0101100
14000US01015002300,79500US0101100
14000US01015002400,79500US0101100
14000US01015002501,79500US0101100
14000US01015002502,79500US0101100
14000US01015002600,79500US0101100
14000US01015981901,79500US0101100
14000US01015981902,79500US0101100
14000US01015981903,79500US0101100
14000US01017953800,79500US0101800
14000US01017953900,79500US0101800
14000US01017954000,79500US0101800
14000US01017954200,79500US0101800
14000US01017954300,79500US0101800
14000US01017954400,79500US0101800
14000US01017954500,79500US0101800
14000US01017954600,79500US0101800
14000US01017954700,79500US0101800
14000US01019955701,79500US0101000
14000US01019955702,79500US0101000
14000US01019955800,79500US0101000
14000US01019955900,79500US0101000
14000US01019956000,79500US0101000
14000US01019956100,79500US0101000
14000US01021060101,79500US0101800
14000US01021060102,79500US0101800
14000US01021060200,79500US0101800
14000US01021060300,79500US0101800
14000US01021060401,79500US0101800
14000US01021060402,79500US0101800
14000US01021060500,79500US0101800
14000US01021060600,79500US0101800
14000US01021060700,79500US0101800
14000US01023956700,79500US0102200
14000US01023956800,79500US0102200
14000US01023956900,79500US0102200
14000US01023957000,79500US0102200
14000US01025957500,79500US0102200
14000US01025957601,79500US0102200
14000US01025957602,79500US0102200
14000US01025957700,79500US0102200
14000US01025957800,79500US0102200
14000US01025957901,79500US0102200
14000US01025957902,79500US0102200
14000US01025958001,79500US0102200
14000US01025958002,79500US0102200
14000US01027958900,79500US0101000
14000US01027959000,79500US0101000
14000US01027959100,79500US0101000
14000US01027959200,79500US0101000
14000US01029959500,79500US0101000
14000US01029959600,79500US0101000
14000US01029959700,79500US0101000
14000US01029959800,79500US0101000
14000US01031010100,79500US0102300
14000US01031010200,79500US0102300
14000US01031010300,79500US0102300
14000US01031010400,79500US0102300
14000US01031010500,79500US0102300
14000US01031010600,79500US0102300
14000US01031010700,79500US0102300
14000US01031010800,79500US0102300
14000US01031010900,79500US0102300
14000US01031011000,79500US0102300
14000US01031011100,79500US0102300
14000US01031011201,79500US0102300
14000US01031011202,79500US0102300
14000US01031011300,79500US0102300
14000US01033020100,79500US0100100
14000US01033020200,79500US0100100
14000US01033020300,79500US0100100
14000US01033020400,79500US0100100
14000US01033020500,79500US0100100
14000US01033020600,79500US0100100
14000US01033020701,79500US0100100
14000US01033020703,79500US0100100
14000US01033020704,79500US0100100
14000US01033020801,79500US0100100
14000US01033020802,79500US0100100
14000US01033020901,79500US0100100
14000US01033020902,79500US0100100
14000US01033021000,79500US0100100
14000US01035960200,79500US0102200
14000US01035960300,79500US0102200
14000US01035960400,79500US0102200
14000US01035960500,79500US0102200
14000US01035960600,79500US0102200
14000US01037961000,79500US0101800
14000US01037961100,79500US0101800
14000US01037961200,79500US0101800
14000US01039961600,79500US0102300
14000US01039961700,79500US0102300
14000US01039961800,79500US0102300
14000US01039961900,79500US0102300
14000US01039962000,79500US0102300
14000US01039962100,79500US0102300
14000US01039962300,79500US0102300
14000US01039962400,79500US0102300
14000US01039962500,79500US0102300
14000US01039962600,79500US0102300
14000US01039962700,79500US0102300
14000US01039962800,79500US0102300
14000US01039962900,79500US0102300
14000US01039963000,79500US0102300
14000US01041963400,79500US0102300
14000US01041963500,79500US0102300
14000US01041963600,79500US0102300
14000US01041963700,79500US0102300
14000US01041963800,79500US0102300
14000US01041963900,79500US0102300
14000US01043964100,79500US0100700
14000US01043964200,79500US0100700
14000US01043964300,79500US0100700
14000US01043964400,79500US0100700
14000US01043964500,79500US0100700
14000US01043964600,79500US0100700
14000US01043964700,79500US0100700
14000US01043964800,79500US0100700
14000US01043964900,79500US0100700
14000US01043965000,79500US0100700
14000US01043965100,79500US0100700
14000US01043965200,79500US0100700
14000US01043965300,79500US0100700
14000US01043965401,79500US0100700
14000US01043965402,79500US0100700
14000US01043965500,79500US0100700
14000US01043965600,79500US0100700
14000US01043965700,79500US0100700
14000US01045020000,79500US0102500
14000US01045020100,79500US0102500
14000US01045020200,79500US0102500
14000US01045020300,79500US0102500
14000US01045020400,79500US0102500
14000US01045020500,79500US0102500
14000US01045020700,79500US0102500
14000US01045020801,79500US0102500
14000US01045020802,79500US0102500
14000US01045021101,79500US0102500
14000US01045021102,79500US0102500
14000US01045021200,79500US0102500
14000US01045021300,79500US0102500
14000US01045021400,79500US0102500
14000US01047956100,79500US0101700
14000US01047956201,79500US0101700
14000US01047956202,79500US0101700
14000US01047956300,79500US0101700
14000US01047956400,79500US0101700
14000US01047956500,79500US0101700
14000US01047956600,79500US0101700
14000US01047956701,79500US0101700
14000US01047956702,79500US0101700
14000US01047956800,79500US0101700
14000US01047956900,79500US0101700
14000US01047957000,79500US0101700
14000US01047957100,79500US0101700
14000US01047957200,79500US0101700
14000US01047957300,79500US0101700
14000US01049960100,79500US0100400
14000US01049960200,79500US0100400
14000US01049960300,79500US0100400
14000US01049960400,79500US0100400
14000US01049960500,79500US0100400
14000US01049960600,79500US0100400
14000US01049960700,79500US0100400
14000US01049960800,79500US0100400
14000US01049960900,79500US0100400
14000US01049961000,79500US0100400
14000US01049961100,79500US0100400
14000US01049961200,79500US0100400
14000US01049961300,79500US0100400
14000US01049961400,79500US0100400
14000US01051030100,79500US0102100
14000US01051030200,79500US0102100
14000US01051030300,79500US0102100
14000US01051030400,79500US0102100
14000US01051030500,79500US0102100
14000US01051030600,79500US0102100
14000US01051030701,79500US0102100
14000US01051030702,79500US0102100
14000US01051030800,79500US0102100
14000US01051030901,79500US0102100
14000US01051030902,79500US0102100
14000US01051031000,79500US0102100
14000US01051031100,79500US0102100
14000US01051031200,79500US0102100
14000US01051031300,79500US0102100
14000US01053969800,79500US0102200
14000US01053969900,79500US0102200
14000US01053970100,79500US0102200
14000US01053970200,79500US0102200
14000US01053970300,79500US0102200
14000US01053970400,79500US0102200
14000US01053970500,79500US0102200
14000US01053970600,79500US0102200
14000US01053970700,79500US0102200
14000US01055000200,79500US0100900
14000US01055000300,79500US0100900
14000US01055000400,79500US0100900
14000US01055000500,79500US0100900
14000US01055000600,79500US0100900
14000US01055000700,79500US0100900
14000US01055000800,79500US0100900
14000US01055000900,79500US0100900
14000US01055001000,79500US0100900
14000US01055001100,79500US0100900
14000US01055001200,79500US0100900
14000US01055001300,79500US0100900
14000US01055001600,79500US0100900
14000US01055001700,79500US0100900
14000US01055010100,79500US0100900
14000US01055010200,79500US0100900
14000US01055010300,79500US0100900
14000US01055010401,79500US0100900
14000US01055010402,79500US0100900
14000US01055010501,79500US0100900
14000US01055010502,79500US0100900
14000US01055010601,79500US0100900
14000US01055010602,79500US0100900
14000US01055010700,79500US0100900
14000US01055010800,79500US0100900
14000US01055010900,79500US0100900
14000US01055011001,79500US0100900
14000US01055011002,79500US0100900
14000US01055011100,79500US0100900
14000US01055011200,79500US0100900
14000US01057020000,79500US0101400
14000US01057020100,79500US0101400
14000US01057020200,79500US0101400
14000US01057020300,79500US0101400
14000US01057020400,79500US0101400
14000US01059972900,79500US0100100
14000US01059973000,79500US0100100
14000US01059973100,79500US0100100
14000US01059973200,79500US0100100
14000US01059973300,79500US0100100
14000US01059973400,79500US0100100
14000US01059973500,79500US0100100
14000US01059973600,79500US0100100
14000US01059973700,79500US0100100
14000US01061050100,79500US0102500
14000US01061050200,79500US0102500
14000US01061050300,79500US0102500
14000US01061050400,79500US0102500
14000US01061050500,79500US0102500
14000US01061050600,79500US0102500
14000US01063060000,79500US0101700
14000US01063060100,79500US0101700
14000US01063060200,79500US0101700
14000US01065040000,79500US0101700
14000US01065040100,79500US0101700
14000US01065040200,79500US0101700
14000US01065040300,79500US0101700
14000US01065040400,79500US0101700
14000US01065040500,79500US0101700
14000US01067030100,79500US0102500
14000US01067030200,79500US0102500
14000US01067030300,79500US0102500
14000US01067030400,79500US0102500
14000US01067030500,79500US0102500
14000US01067030600,79500US0102500
14000US01069040100,79500US0102500
14000US01069040201,79500US0102500
14000US01069040202,79500US0102500
14000US01069040301,79500US0102500
14000US01069040302,79500US0102500
14000US01069040400,79500US0102500
14000US01069040500,79500US0102500
14000US01069040600,79500US0102500
14000US01069040700,79500US0102500
14000US01069040800,79500US0102500
14000US01069040900,79500US0102500
14000US01069041000,79500US0102500
14000US01069041100,79500US0102500
14000US01069041200,79500US0102500
14000US01069041400,79500US0102500
14000US01069041500,79500US0102500
14000US01069041600,79500US0102500
14000US01069041700,79500US0102500
14000US01069041800,79500US0102500
14000US01069041900,79500US0102500
14000US01069042000,79500US0102500
14000US01069042100,79500US0102500
14000US01071950100,79500US0100400
14000US01071950200,79500US0100400
14000US01071950300,79500US0100400
14000US01071950400,79500US0100400
14000US01071950500,79500US0100400
14000US01071950600,79500US0100400
14000US01071950700,79500US0100400
14000US01071950800,79500US0100400
14000US01071950900,79500US0100400
14000US01071951000,79500US0100400
14000US01071951100,79500US0100400
14000US01073001100,79500US0101301
14000US01073001200,79500US0101301
14000US01073001400,79500US0101301
14000US01073002900,79500US0101301
14000US01073003001,79500US0101301
14000US01073003002,79500US0101301
14000US01073003100,79500US0101301
14000US01073003200,79500US0101301
14000US01073003300,79500US0101301
14000US01073003400,79500US0101301
14000US01073003500,79500US0101301
14000US01073003600,79500US0101301
14000US01073003700,79500US0101301
14000US01073003802,79500US0101301
14000US01073003803,79500US0101301
14000US01073003900,79500US0101301
14000US01073004000,79500US0101301
14000US01073004200,79500US0101301
14000US01073005101,79500US0101301
14000US01073005103,79500US0101301
14000US01073005104,79500US0101301
14000US01073005200,79500US0101301
14000US01073005701,79500US0101301
14000US01073005702,79500US0101301
14000US01073010500,79500US0101301
14000US01073010602,79500US0101301
14000US01073010603,79500US0101301
14000US01073013002,79500US0101301
14000US01073013100,79500US0101301
14000US01073013200,79500US0101301
14000US01073013300,79500US0101301
14000US01073013400,79500US0101301
14000US01073000100,79500US0101302
14000US01073000300,79500US0101302
14000US01073000400,79500US0101302
14000US01073000500,79500US0101302
14000US01073000700,79500US0101302
14000US01073000800,79500US0101302
14000US01073001500,79500US0101302
14000US01073001600,79500US0101302
14000US01073001902,79500US0101302
14000US01073002000,79500US0101302
14000US01073002100,79500US0101302
14000US01073002200,79500US0101302
14000US01073002303,79500US0101302
14000US01073002305,79500US0101302
14000US01073002306,79500US0101302
14000US01073002400,79500US0101302
14000US01073002700,79500US0101302
14000US01073004500,79500US0101302
14000US01073004701,79500US0101302
14000US01073004702,79500US0101302
14000US01073004800,79500US0101302
14000US01073004901,79500US0101302
14000US01073004902,79500US0101302
14000US01073005000,79500US0101302
14000US01073005302,79500US0101302
14000US01073005500,79500US0101302
14000US01073005600,79500US0101302
14000US01073005903,79500US0101302
14000US01073005905,79500US0101302
14000US01073010900,79500US0101302
14000US01073011904,79500US0101302
14000US01073005800,79500US0101303
14000US01073010701,79500US0101303
14000US01073010702,79500US0101303
14000US01073010703,79500US0101303
14000US01073010704,79500US0101303
14000US01073010705,79500US0101303
14000US01073010706,79500US0101303
14000US01073010801,79500US0101303
14000US01073010802,79500US0101303
14000US01073010803,79500US0101303
14000US01073010804,79500US0101303
14000US01073010805,79500US0101303
14000US01073011001,79500US0101303
14000US01073011002,79500US0101303
14000US01073012602,79500US0101303
14000US01073012701,79500US0101303
14000US01073012703,79500US0101303
14000US01073012704,79500US0101303
14000US01073012802,79500US0101303
14000US01073012803,79500US0101303
14000US01073012905,79500US0101303
14000US01073012906,79500US0101303
14000US01073012907,79500US0101303
14000US01073012908,79500US0101303
14000US01073012910,79500US0101303
14000US01073012911,79500US0101303
14000US01073012912,79500US0101303
14000US01073012913,79500US0101303
14000US01073012914,79500US0101303
14000US01073012915,79500US0101303
14000US01073014404,79500US0101303
14000US01073014405,79500US0101303
14000US01073014406,79500US0101303
14000US01073014408,79500US0101303
14000US01073014409,79500US0101303
14000US01073014410,79500US0101303
14000US01073014412,79500US0101303
14000US01073014413,79500US0101303
14000US01073005907,79500US0101304
14000US01073005908,79500US0101304
14000US01073005909,79500US0101304
14000US01073005910,79500US0101304
14000US01073011104,79500US0101304
14000US01073011107,79500US0101304
14000US01073011108,79500US0101304
14000US01073011109,79500US0101304
14000US01073011110,79500US0101304
14000US01073011111,79500US0101304
14000US01073011205,79500US0101304
14000US01073011206,79500US0101304
14000US01073011207,79500US0101304
14000US01073011208,79500US0101304
14000US01073011209,79500US0101304
14000US01073011210,79500US0101304
14000US01073011301,79500US0101304
14000US01073011302,79500US0101304
14000US01073011400,79500US0101304
14000US01073011500,79500US0101304
14000US01073011600,79500US0101304
14000US01073011703,79500US0101304
14000US01073011704,79500US0101304
14000US01073011705,79500US0101304
14000US01073011706,79500US0101304
14000US01073011802,79500US0101304
14000US01073011803,79500US0101304
14000US01073011804,79500US0101304
14000US01073011901,79500US0101304
14000US01073012001,79500US0101304
14000US01073012002,79500US0101304
14000US01073012103,79500US0101304
14000US01073012104,79500US0101304
14000US01073012401,79500US0101304
14000US01073012402,79500US0101304
14000US01073012403,79500US0101304
14000US01073010001,79500US0101305
14000US01073010002,79500US0101305
14000US01073010100,79500US0101305
14000US01073010200,79500US0101305
14000US01073010301,79500US0101305
14000US01073010302,79500US0101305
14000US01073010401,79500US0101305
14000US01073010402,79500US0101305
14000US01073012200,79500US0101305
14000US01073012302,79500US0101305
14000US01073012304,79500US0101305
14000US01073012305,79500US0101305
14000US01073012500,79500US0101305
14000US01073013601,79500US0101305
14000US01073013801,79500US0101305
14000US01073013901,79500US0101305
14000US01073013902,79500US0101305
14000US01073014001,79500US0101305
14000US01073014002,79500US0101305
14000US01073014102,79500US0101305
14000US01073014104,79500US0101305
14000US01073014105,79500US0101305
14000US01073014203,79500US0101305
14000US01073014204,79500US0101305
14000US01073014301,79500US0101305
14000US01073014302,79500US0101305
14000US01075030000,79500US0101400
14000US01075030100,79500US0101400
14000US01075030200,79500US0101400
14000US01077010100,79500US0100100
14000US01077010200,79500US0100100
14000US01077010300,79500US0100100
14000US01077010400,79500US0100100
14000US01077010600,79500US0100100
14000US01077010700,79500US0100100
14000US01077010800,79500US0100100
14000US01077010900,79500US0100100
14000US01077011000,79500US0100100
14000US01077011101,79500US0100100
14000US01077011102,79500US0100100
14000US01077011200,79500US0100100
14000US01077011300,79500US0100100
14000US01077011400,79500US0100100
14000US01077011501,79500US0100100
14000US01077011502,79500US0100100
14000US01077011602,79500US0100100
14000US01077011603,79500US0100100
14000US01077011604,79500US0100100
14000US01077011700,79500US0100100
14000US01077011801,79500US0100100
14000US01077011802,79500US0100100
14000US01079979100,79500US0100600
14000US01079979200,79500US0100600
14000US01079979300,79500US0100600
14000US01079979400,79500US0100600
14000US01079979500,79500US0100600
14000US01079979600,79500US0100600
14000US01079979700,79500US0100600
14000US01079979800,79500US0100600
14000US01079979900,79500US0100600
14000US01081040200,79500US0101900
14000US01081040300,79500US0101900
14000US01081040400,79500US0101900
14000US01081040500,79500US0101900
14000US01081040602,79500US0101900
14000US01081040603,79500US0101900
14000US01081040604,79500US0101900
14000US01081040700,79500US0101900
14000US01081040800,79500US0101900
14000US01081040901,79500US0101900
14000US01081040902,79500US0101900
14000US01081041000,79500US0101900
14000US01081041100,79500US0101900
14000US01081041200,79500US0101900
14000US01081041300,79500US0101900
14000US01081041400,79500US0101900
14000US01081041600,79500US0101900
14000US01081041700,79500US0101900
14000US01081041800,79500US0101900
14000US01081041900,79500US0101900
14000US01081042002,79500US0101900
14000US01081042003,79500US0101900
14000US01081042004,79500US0101900
14000US01081042005,79500US0101900
14000US01081042006,79500US0101900
14000US01081042101,79500US0101900
14000US01081042102,79500US0101900
14000US01083020101,79500US0100200
14000US01083020102,79500US0100200
14000US01083020201,79500US0100200
14000US01083020202,79500US0100200
14000US01083020300,79500US0100200
14000US01083020401,79500US0100200
14000US01083020402,79500US0100200
14000US01083020500,79500US0100200
14000US01083020600,79500US0100200
14000US01083020700,79500US0100200
14000US01083020801,79500US0100200
14000US01083020802,79500US0100200
14000US01083020900,79500US0100200
14000US01083021000,79500US0100200
14000US01083021100,79500US0100200
14000US01083021200,79500US0100200
14000US01085780800,79500US0102100
14000US01085781000,79500US0102100
14000US01085781100,79500US0102100
14000US01085781200,79500US0102100
14000US01087231400,79500US0102400
14000US01087231500,79500US0102400
14000US01087231601,79500US0102400
14000US01087231602,79500US0102400
14000US01087231603,79500US0102400
14000US01087231700,79500US0102400
14000US01087231800,79500US0102400
14000US01087231900,79500US0102400
14000US01087232000,79500US0102400
14000US01087232100,79500US0102400
14000US01087232200,79500US0102400
14000US01087232300,79500US0102400
14000US01089010100,79500US0100200
14000US01089010200,79500US0100200
14000US01089010301,79500US0100200
14000US01089010302,79500US0100200
14000US01089010401,79500US0100200
14000US01089010402,79500US0100200
14000US01089010501,79500US0100200
14000US01089010502,79500US0100200
14000US01089010701,79500US0100200
14000US01089010702,79500US0100200
14000US01089010800,79500US0100200
14000US01089011100,79500US0100200
14000US01089011200,79500US0100200
14000US01089000301,79500US0100301
14000US01089000302,79500US0100301
14000US01089000403,79500US0100301
14000US01089000501,79500US0100301
14000US01089000502,79500US0100301
14000US01089000503,79500US0100301
14000US01089000601,79500US0100301
14000US01089000602,79500US0100301
14000US01089000701,79500US0100301
14000US01089000702,79500US0100301
14000US01089001301,79500US0100301
14000US01089001302,79500US0100301
14000US01089001401,79500US0100301
14000US01089001402,79500US0100301
14000US01089001500,79500US0100301
14000US01089010612,79500US0100301
14000US01089010621,79500US0100301
14000US01089010622,79500US0100301
14000US01089010623,79500US0100301
14000US01089010624,79500US0100301
14000US01089011011,79500US0100301
14000US01089011012,79500US0100301
14000US01089011013,79500US0100301
14000US01089011014,79500US0100301
14000US01089011021,79500US0100301
14000US01089011022,79500US0100301
14000US01089000201,79500US0100302
14000US01089000202,79500US0100302
14000US01089000901,79500US0100302
14000US01089000902,79500US0100302
14000US01089001000,79500US0100302
14000US01089001200,79500US0100302
14000US01089001700,79500US0100302
14000US01089001801,79500US0100302
14000US01089001901,79500US0100302
14000US01089001902,79500US0100302
14000US01089001903,79500US0100302
14000US01089002000,79500US0100302
14000US01089002100,79500US0100302
14000US01089002200,79500US0100302
14000US01089002300,79500US0100302
14000US01089002400,79500US0100302
14000US01089002501,79500US0100302
14000US01089002502,79500US0100302
14000US01089002600,79500US0100302
14000US01089002701,79500US0100302
14000US01089002721,79500US0100302
14000US01089002722,79500US0100302
14000US01089002801,79500US0100302
14000US01089002802,79500US0100302
14000US01089002911,79500US0100302
14000US01089002912,79500US0100302
14000US01089002921,79500US0100302
14000US01089002922,79500US0100302
14000US01089003000,79500US0100302
14000US01089003100,79500US0100302
14000US01089010901,79500US0100500
14000US01089010902,79500US0100500
14000US01089011300,79500US0100500
14000US01089011400,79500US0100500
14000US01091972900,79500US0101700
14000US01091973000,79500US0101700
14000US01091973100,79500US0101700
14000US01091973200,79500US0101700
14000US01091973300,79500US0101700
14000US01091973400,79500US0101700
14000US01093964000,79500US0100100
14000US01093964100,79500US0100100
14000US01093964200,79500US0101400
14000US01093964300,79500US0101400
14000US01093964400,79500US0101400
14000US01093964500,79500US0101400
14000US01093964600,79500US0101400
14000US01093964700,79500US0101400
14000US01095030100,79500US0100500
14000US01095030201,79500US0100500
14000US01095030202,79500US0100500
14000US01095030300,79500US0100500
14000US01095030401,79500US0100500
14000US01095030402,79500US0100500
14000US01095030500,79500US0100500
14000US01095030600,79500US0100500
14000US01095030701,79500US0100500
14000US01095030702,79500US0100500
14000US01095030801,79500US0100500
14000US01095030802,79500US0100500
14000US01095030902,79500US0100500
14000US01095030903,79500US0100500
14000US01095030904,79500US0100500
14000US01095031000,79500US0100500
14000US01095031100,79500US0100500
14000US01095031200,79500US0100500
14000US01097000200,79500US0102701
14000US01097000401,79500US0102701
14000US01097000402,79500US0102701
14000US01097000500,79500US0102701
14000US01097000600,79500US0102701
14000US01097000701,79500US0102701
14000US01097000702,79500US0102701
14000US01097000800,79500US0102701
14000US01097000901,79500US0102701
14000US01097000902,79500US0102701
14000US01097000903,79500US0102701
14000US01097001001,79500US0102701
14000US01097001002,79500US0102701
14000US01097001100,79500US0102701
14000US01097001200,79500US0102701
14000US01097001302,79500US0102701
14000US01097001400,79500US0102701
14000US01097001501,79500US0102701
14000US01097001502,79500US0102701
14000US01097001800,79500US0102701
14000US01097001901,79500US0102701
14000US01097001902,79500US0102701
14000US01097002000,79500US0102701
14000US01097002100,79500US0102701
14000US01097002200,79500US0102701
14000US01097002301,79500US0102701
14000US01097002302,79500US0102701
14000US01097002400,79500US0102701
14000US01097002501,79500US0102701
14000US01097002502,79500US0102701
14000US01097002600,79500US0102701
14000US01097002700,79500US0102701
14000US01097002800,79500US0102701
14000US01097002900,79500US0102701
14000US01097003901,79500US0102701
14000US01097003902,79500US0102701
14000US01097004000,79500US0102701
14000US01097004100,79500US0102701
14000US01097004800,79500US0102701
14000US01097005100,79500US0102701
14000US01097005200,79500US0102701
14000US01097005300,79500US0102701
14000US01097005400,79500US0102701
14000US01097007400,79500US0102701
14000US01097007500,79500US0102701
14000US01097007600,79500US0102701
14000US01097007700,79500US0102701
14000US01097003000,79500US0102702
14000US01097003100,79500US0102702
14000US01097003202,79500US0102702
14000US01097003203,79500US0102702
14000US01097003204,79500US0102702
14000US01097003205,79500US0102702
14000US01097003301,79500US0102702
14000US01097003302,79500US0102702
14000US01097003402,79500US0102702
14000US01097003404,79500US0102702
14000US01097003405,79500US0102702
14000US01097003406,79500US0102702
14000US01097003407,79500US0102702
14000US01097003408,79500US0102702
14000US01097003501,79500US0102702
14000US01097003502,79500US0102702
14000US01097003602,79500US0102702
14000US01097003605,79500US0102702
14000US01097003606,79500US0102702
14000US01097003607,79500US0102702
14000US01097003608,79500US0102702
14000US01097003703,79500US0102702
14000US01097003704,79500US0102702
14000US01097003705,79500US0102702
14000US01097003706,79500US0102702
14000US01097003707,79500US0102702
14000US01097003708,79500US0102702
14000US01097003709,79500US0102702
14000US01097003710,79500US0102702
14000US01097004900,79500US0102702
14000US01097005000,79500US0102702
14000US01097003800,79500US0102703
14000US01097005500,79500US0102703
14000US01097005600,79500US0102703
14000US01097005700,79500US0102703
14000US01097005800,79500US0102703
14000US01097005900,79500US0102703
14000US01097006000,79500US0102703
14000US01097006102,79500US0102703
14000US01097006103,79500US0102703
14000US01097006104,79500US0102703
14000US01097006105,79500US0102703
14000US01097006200,79500US0102703
14000US01097006301,79500US0102703
14000US01097006302,79500US0102703
14000US01097006402,79500US0102703
14000US01097006403,79500US0102703
14000US01097006404,79500US0102703
14000US01097006405,79500US0102703
14000US01097006406,79500US0102703
14000US01097006407,79500US0102703
14000US01097006501,79500US0102703
14000US01097006502,79500US0102703
14000US01097006600,79500US0102703
14000US01097006701,79500US0102703
14000US01097006702,79500US0102703
14000US01097006801,79500US0102703
14000US01097006802,79500US0102703
14000US01097006901,79500US0102703
14000US01097006902,79500US0102703
14000US01097007000,79500US0102703
14000US01097007101,79500US0102703
14000US01097007102,79500US0102703
14000US01097007103,79500US0102703
14000US01097007201,79500US0102703
14000US01097007202,79500US0102703
14000US01097007300,79500US0102703
14000US01097990000,79500US0102703
14000US01099075600,79500US0102200
14000US01099075700,79500US0102200
14000US01099075800,79500US0102200
14000US01099075900,79500US0102200
14000US01099076000,79500US0102200
14000US01099076100,79500US0102200
14000US01099076200,79500US0102200
14000US01101000100,79500US0102000
14000US01101000200,79500US0102000
14000US01101000400,79500US0102000
14000US01101000500,79500US0102000
14000US01101000600,79500US0102000
14000US01101000700,79500US0102000
14000US01101000900,79500US0102000
14000US01101001000,79500US0102000
14000US01101001100,79500US0102000
14000US01101001200,79500US0102000
14000US01101001300,79500US0102000
14000US01101001400,79500US0102000
14000US01101001500,79500US0102000
14000US01101001600,79500US0102000
14000US01101001700,79500US0102000
14000US01101001800,79500US0102000
